NOMBRE_BARRIO,CANTIDAD
PALERMO,3652
PALERMO SUR,912
PALO BLANCO,1538
PALOQUEMAO,1203
PARAISO QUIBA,2370
PARAMO,456
PARAMO I,61
PARAMO I RURAL,16
PARAMO II,55
PARAMO II RURAL,1
PARAMO III,5
PARAMO III RURAL,1
PARAMO IV,72
PARAMO RURAL V,75
PARAMO URBANO,59
PARAMO URBANO I,239
PARAMO URBANO III,75
"PARC.LA ESPERANZA,LA CABANA, BNOS AIRES.",4
PARCELA EL PORVENIR,7189
PARDO RUBIO,5793
PARIS,4622
PARIS GAITAN,3340
PARQUE DISTRITAL SALITRE,3
PARQUE EL TUNAL,11
PARQUE NACIONAL,6
PARQUE NACIONAL ORIENTAL,177
PARQUE NACIONAL URBANO,3
PARQUE POPULAR SALITRE,1
PASADENA,4548
PASO ANCHO,1593
PASQUILLA,387
PASQUILLITA,135
PASTRANA,3400
PATIO BONITO,2401
PATIO BONITO II,1743
PATIO BONITO III,878
PAULO VI,4163
PENALISA,53
PENSILVANIA,1277
PEPINITOS,1
PERDOMO ALTO,1986
PINOS DE LOMBARDIA,6912
PIO XII,4298
POLICARPA,794
POLO CLUB,2962
POPULAR MODELO,7722
PORCIUNCULA,6594
PORTAL RURAL II,3
PORTALES DEL NORTE,12705
PORVENIR,6895
POTOSI,9481
POTRERILLO,741
PRADO PINZON,7405
PRADO VERANIEGO,2405
PRADO VERANIEGO NORTE,7283
PRADO VERANIEGO SUR,9557
PRIMAVERA,1441
PRIMAVERA II,1468
PRIMAVERA OCCIDENTAL,3180
PRIMERO DE MAYO,177
PROVIVIENDA,4129
PROVIVIENDA NORTE,1615
PROVIVIENDA OCCIDENTAL,7793
PROVIVIENDA ORIENTAL,5128
PUEBLO VIEJO,1
PUENTE ARANDA,956
PUENTE COLORADO,283
PUENTE GRANDE,878
PUENTE LARGO,9084
PUERTA AL LLANO DE USME,1478
PUERTA AL LLANO RURAL,52
PUERTA DE TEJA,1320
PUERTA DEL SOL,2721
PUERTO RICO,2669
QUESADA,2470
QUIBA,1415
QUIBA ALTO,220
QUIBA BAJO,1865
QUIBA I,850
QUIBA RURAL,36
QUIBA URBANO,407
QUINDIO,1015
QUINTA CAMACHO,4081
QUINTA MUTIS,643
QUINTA PAREDES,1756
QUINTA RAMOS,330
QUINTAS DEL SUR,751
QUIRIGUA I,1111
QUIRIGUA II,913
QUIRIGUA ORIENTAL,1213
QUIROGA,1036
QUIROGA CENTRAL,1426
QUIROGA I,1190
QUIROGA SUR,979
RAFAEL ESCAMILLA,1041
RAFAEL NUNEZ,4143
RAFAEL URIBE,487
RAIZAL,106
RAMAJAL,523
RAMIREZ,1472
REMANSO,2334
REMANSO SUR,2150
REMANSO URBANO,271
RENANIA URAPANES,2352
RESTREPO,2501
RESTREPO OCCIDENTAL,4230
RICAURTE,3139
RINCON ALTAMAR,1391
RINCON DE GALICIA,955
RINCON DE LA VALVANERA,1035
RINCON DE SANTA INES,5481
RINCON DE SUBA,1232
RINCON DEL CHICO,6565
RIONEGRO,1600
ROMA,3273
RONDA,2204
S.ANTONIO-POTRERITO-S.BERNARDINO S.JOAQN,4
S.BERNARDINO XVIII,1026
SABANA DE TIBABUYES,6136
SABANA DE TIBABUYES NORTE,7793
SABANA DEL DORADO,2872
SABANA GRANDE,8428
SAGRADO CORAZON,2799
SALAZAR GOMEZ,1457
SALAZAR USME,162
SALITRE OCCIDENTAL,10919
SALITRE SUBA,3978
SAMORE,1716
SAMPER,8586
SAMPER MENDOZA,663
SAN AGUSTIN,2713
SAN ANTONIO,4970
SAN ANTONIO DEL MIRADOR,802
SAN ANTONIO ENGATIVA,2154
SAN ANTONIO NOROCCIDENTAL,10597
SAN ANTONIO NORTE,1514
SAN ANTONIO URBANO,924
SAN BENITO,1673
SAN BERNARDINO,2178
SAN BERNARDINO I,2225
SAN BERNARDINO II,1210
SAN BERNARDINO POTRERITOS,1385
SAN BERNARDINO XIX,4019
SAN BERNARDINO XVIII,168
SAN BERNARDINO XXII URBANO,2
SAN BERNARDINO XXV,24
SAN BERNARDINO XXV URBANO,32
SAN BLAS,725
SAN BLAS II,679
SAN CARLOS,2260
SAN CARLOS DE SUBA,1223
SAN CAYETANO,2531
SAN CRISTOBAL NORTE,3050
SAN CRISTOBAL SUR,4192
SAN DIEGO,2830
SAN DIEGO-BOSA,5792
SAN EUSEBIO,3413
SAN FELIPE,1220
SAN FELIPE DE USME,1019
SAN FELIPE DE USME RURAL,22
SAN FERNANDO,1325
SAN FERNANDO OCCIDENTAL,2059
SAN FRANCISCO,3776
SAN FRANCISCO RURAL,892
SAN GABRIEL,917
SAN GABRIEL NORTE,5418
SAN GABRIEL NORTE II,1544
SAN IGNACIO,1874
SAN ISIDRO,1193
SAN ISIDRO RURAL,81
SAN ISIDRO RURAL II,660
SAN JAVIER,334
SAN JOAQUIN,2091
SAN JORGE SUR,1306
SAN JOSE,19
SAN JOSE DE BAVARIA,1431
SAN JOSE DE FONTIBON,3911
SAN JOSE DE USAQUEN,5385
SAN JOSE DEL PRADO,11334
SAN JOSE SUR,1786
SAN JOSE SUR ORIENTAL,1011
SAN JOSE V SECTOR,26
SAN JUAN,58
SAN JUAN BAUTISTA,1109
SAN JUAN URBANO,28
SAN LUIS,4824
SAN LUIS ALTOS DEL CABO,1597
SAN LUIS ALTOS DEL CABO RURAL II,1579
SAN MARTIN,1382
SAN MARTIN SUR,1890
SAN MIGUEL,3020
SAN PABLO BOSA,2385
SAN PABLO JERICO,1901
SAN PATRICIO,13112
SAN PEDRO,3828
SAN PEDRO DE LOS ROBLES,295
SAN PEDRO SUR,459
SAN RAFAEL,2621
SAN RAFAEL INDUSTRIAL,135
SAN RAFAEL USME,708
SAN SEBASTIAN,535
SAN VICENTE,1337
SAN VICENTE FERRER,2438
SAN VICTORINO,855
SANTA ANA,1587
SANTA ANA OCCIDENTAL,5922
SANTA ANA SUR,700
SANTA BARBARA,3115
SANTA BARBARA CENTRAL,20466
SANTA BARBARA OCCIDENTAL,19277
SANTA BARBARA ORIENTAL,3527
SANTA BIBIANA,12563
SANTA CATALINA,3565
SANTA CECILIA,7767
SANTA CECILIA DE SUBA I,6
SANTA CECILIA PUENTE NORTE,967
SANTA FE,2582
SANTA FE BOSA,2440
SANTA FE DE BOSA,1
SANTA HELENA,5921
SANTA HELENITA,3036
SANTA INES,4076
SANTA INES SUR,3003
SANTA INES SUR II,1012
SANTA ISABEL,1342
SANTA ISABEL SUR,1701
SANTA LIBRADA,1689
SANTA LIBRADA NORTE,1896
SANTA LUCIA,2251
SANTA MARIA,2523
SANTA MATILDE,1083
SANTA MONICA,2216
SANTA RITA DE SUBA,3304
